"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"EHDSProcedure","EHDSProcedure.focalDevice","EHDSProcedure.focalDevice","","","",0,*,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}
","Device that is implanted, removed, or otherwise manipulated (calibration, battery replacement, fitting a prosthesis, attaching a wound-vac, etc.) as a focal portion of the Procedure.","Device that is implanted, removed, or otherwise manipulated (calibration, battery replacement, fitting a prosthesis, attaching a wound-vac, etc.) as a focal portion of the Procedure.","","","","","","","","","",,,,,"",,,,"EHDSProcedure.focalDevice",0,*,"",""
"EHDSProcedure","EHDSProcedure.note","EHDSProcedure.note","","","",0,1,"","","","string {[]} {[]}
","Free text notes by the health professional.","Free text notes by the health professional.","","","","","","","","","",,,,,"",,,,"EHDSProcedure.note",0,1,"",""
"EHDSRelatedPerson","EHDSRelatedPerson","EHDSRelatedPerson","","","",0,*,"","","","null {[]} {[]}
","Related person model","EHDSRelatedPerson means a structured set of data elements describing a person related to the patient, such as a guardian, next of kin, or other related person.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"EHDSRelatedPerson","EHDSRelatedPerson.identifier","EHDSRelatedPerson.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","A stable identifier of the patient that is unique within a defined scope, the use of temporary generated identifiers is not permitted. In addition to the mandatory attributes listed below, other attributes compliant with the HL7 FHIR Identifier structure may be included.","A stable identifier of the patient that is unique within a defined scope, the use of temporary generated identifiers is not permitted. In addition to the mandatory attributes listed below, other attributes compliant with the HL7 FHIR Identifier structure may be included.","","","","","","","","","",,"required","HL7 Identifier Type, extended with the following: NI (national unique identifier), HI (health identifier), HIN (health insurance number), SS (social security identifier), REGPID (regional person identifier), REGION (region identifier)","","",,,,"EHDSRelatedPerson.identifier",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ident-1:Identifier with no value has limited utility.  If communicating that an identifier value has been suppressed or missing, the value element SHOULD be present with an extension indicating the missing semantic - e.g. data-absent-reason {value.exists()}"
"EHDSRelatedPerson","EHDSRelatedPerson.identifier.id","EHDSRelatedPerson.identifier.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"EHDSRelatedPerson","EHDSRelatedPerson.identifier.extension","EHDSRelatedPerson.identifier.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"EHDSRelatedPerson","EHDSRelatedPerson.identifier.use","EHDSRelatedPerson.identifier.use","","","",0,1,"","Y","Y","code {[]} {[]}
","usual | official | temp | secondary | old (If known)","The purpose of this identifier.","Applications can assume that an identifier is permanent unless it explicitly says that it is temporary.","Allows the appropriate identifier for a particular context of use to be selected from among a set of identifiers.","","","","","","","",,"required","Identifies the purpose for this identifier, if known .","http://hl7.org/fhir/ValueSet/identifier-use|5.0.0","",,,,"Identifier.use",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"EHDSRelatedPerson","EHDSRelatedPerson.identifier.type","EHDSRelatedPerson.identifier.type","","","",1,1,"","","Y","CodeableConcept {[]} {[]}
","Description of the identifier.","A coded type for the identifier that can be used to determine which identifier to use for a specific purpose.","This element deals only with general categories of identifiers.  It SHOULD not be used for codes that correspond 1..1 with the Identifier.system. Some identifiers may fall into multiple categories due to common usage.   Where the system is known, a type is unnecessary because the type is always part of the system definition. However systems often need to handle identifiers where the system is not known. There is not a 1:1 relationship between type and system, since many different systems have the same type.","Allows users to make use of identifiers when the identifier system is not known.","","","","","","","",,"extensible","A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","http://hl7.org/fhir/ValueSet/identifier-type|5.0.0","",,,,"Identifier.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"EHDSRelatedPerson","EHDSRelatedPerson.identifier.system","EHDSRelatedPerson.identifier.system","","","",1,1,"","","Y","uri {[]} {[]}
","The namespace for the Identifier.value.","Establishes the namespace for the value - that is, an absolute URL that describes a set values that are unique.","Identifier.system is always case sensitive.","There are many sets  of identifiers.  To perform matching of two identifiers, we need to know what set we're dealing with. The system identifies a particular set of unique identifiers.","","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://www.acme.com/identifiers/patient""/>","","",,,,,"",,,,"Identifier.system",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"EHDSRelatedPerson","EHDSRelatedPerson.identifier.value","EHDSRelatedPerson.identifier.value","","","",1,1,"","","Y","string {[]} {[]}
","The value that is unique.","The portion of the identifier typically relevant to the user and which is unique within the context of the system.","If the value is a full URI, then the system SHALL be urn:ietf:rfc:3986.  The value's primary purpose is computational mapping.  As a result, it may be normalized for comparison purposes (e.g. removing non-significant whitespace, dashes, etc.)  A value formatted for human display can be conveyed using the [http://hl7.org/fhir/StructureDefinition/rendered-value](http://hl7.org/fhir/extensions/StructureDefinition-rendered-value.html)). Identifier.value is to be treated as case sensitive unless knowledge of the Identifier.system allows the processer to be confident that non-case-sensitive processing is safe.","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""123456""/>","","",,,,,"",,,,"Identifier.value",0,1,"ident-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"EHDSRelatedPerson","EHDSRelatedPerson.identifier.period","EHDSRelatedPerson.identifier.period","","","",0,1,"","","Y","Period {[]} {[]}
","Time period when id is/was valid for use","Time period during which identifier is/was valid for use.","","","","","","","","","",,,,,"",,,,"Identifier.period",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"EHDSRelatedPerson","EHDSRelatedPerson.identifier.assigner","EHDSRelatedPerson.identifier.assigner","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization|5.0.0]]}
","Organization that issued id (may be just text)","Organization that issued/manages the identifier.","The Identifier.assigner may omit the .reference element and only contain a .display element reflecting the name or other textual information about the assigning organization.","","","","","","","","",,,,,"",,,,"Identifier.assigner",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"EHDSRelatedPerson","EHDSRelatedPerson.name","EHDSRelatedPerson.name","","","",1,*,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSHumanName {[]} {[]}
","Name associated with the person.","Name associated with the person.","","","","","","","","","",,,,,"",,,,"EHDSRelatedPerson.name",1,*,"",""
"EHDSRelatedPerson","EHDSRelatedPerson.subject","EHDSRelatedPerson.subject","","","",1,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
","The patient in relation to whom the related person is defined.","The patient in relation to whom the related person is defined.","","","","","","","","","",,,,,"",,,,"EHDSRelatedPerson.subject",1,1,"",""
"EHDSRelatedPerson","EHDSRelatedPerson.relationship","EHDSRelatedPerson.relationship","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Relationship between a patient and a contact person for that patient. This includes relatives, guardians, caring persons etc.","Relationship between a patient and a contact person for that patient. This includes relatives, guardians, caring persons etc.","","","","","","","","","",,"required","HL7 Patient Relationship Type","","",,,,"EHDSRelatedPerson.relationship",0,1,"",""
"EHDSRelatedPerson","EHDSRelatedPerson.address","EHDSRelatedPerson.address","","","",0,*,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSAddress {[]} {[]}
","Address of the person.","Address of the person.","","","","","","","","","",,,,,"",,,,"EHDSRelatedPerson.address",0,*,"",""
"EHDSRelatedPerson","EHDSRelatedPerson.telecom","EHDSRelatedPerson.telecom","","","",0,*,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSTelecom {[]} {[]}
","Telecommunication contact information of the person.","Telecommunication contact information of the person.","","","","","","","","","",,,,,"",,,,"EHDSRelatedPerson.telecom",0,*,"",""
"EHDSServiceRequest","EHDSServiceRequest","EHDSServiceRequest","","","",0,*,"","","","null {[]} {[]}
","Service request model","EHDSServiceRequest means a structured set of data elements describing one or more requested services.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"EHDSServiceRequest","EHDSServiceRequest.header","EHDSServiceRequest.header","","","",1,1,"","","","Base {[]} {[]}
","Basic metadata for this information.","Basic metadata for this information.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,1,"",""
"EHDSServiceRequest","EHDSServiceRequest.header.subject","EHDSServiceRequest.header.subject","","","",1,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
","Patient/subject information.","Patient/subject information.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSServiceRequest","EHDSServiceRequest.header.identifier","EHDSServiceRequest.header.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier assigned to the resource or document (not a patient ID and not the technical resource ID).","Business identifier assigned to the resource or document (not a patient ID and not the technical resource ID).","Business identifier is unique within the system that assigns them. The same entity may have different unique identifiers assigned by different systems. Therefore, the identifier is always expected to be a pair of a system and a value.","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
